OBJECTID,Cluster,Edge,var1,var2,BiT,p_sim,p_value,pattern005,pattern001,pattern0001
135,0,0,0.80387434,0.5647031,9.478004786227226,0.995,0.0050000000000000044,neg_cluster,neg_cluster,NS
136,0,0,0.206542901,0.65373959,9.723459590212068,0.982,0.018000000000000016,neg_cluster,NS,NS
137,0,0,1.48164543,1.06011901,0.8113745969051767,0.21,0.21,NS,NS,NS
138,0,0,0.322620482,2.60055003,5.38298551846114,0.833,0.16700000000000004,NS,NS,NS
139,0,0,0.272718109,0.68169406,1.2960151601981411,0.497,0.497,NS,NS,NS
140,0,0,1.460954028,2.17350751,1.014086963000008,0.021,0.021,pos_cluster,NS,NS
141,0,0,2.141445249,1.85629508,0.8872943406754018,0.004,0.004,pos_cluster,pos_cluster,NS
142,0,0,0.573771311,1.15173392,0.7660955283455668,0.322,0.322,NS,NS,NS
143,0,0,0.47535774,3.53400624,8.477830090348906,0.894,0.10599999999999998,NS,NS,NS
144,0,0,24.18431638,1.93798121,53.939021159791125,0.922,0.07799999999999996,NS,NS,NS
145,0,0,6.161156441,1.03315725,28.293040720639503,0.99,0.010000000000000009,neg_cluster,neg_cluster,NS
146,0,0,4.090893534,0.52684107,5.478136157228108,0.694,0.30600000000000005,NS,NS,NS
147,0,0,0.710989332,0.3706602,3.473180966677005,0.825,0.17500000000000004,NS,NS,NS
148,0,0,0.333481217,0.9451624,3.5233888095694743,0.86,0.14,NS,NS,NS
149,0,0,0.201606226,4.31771913,14.14956378285743,0.952,0.04800000000000004,neg_cluster,NS,NS
150,0,0,0.710843118,6.99714318,10.26972445103659,0.66,0.33999999999999997,NS,NS,NS
151,0,0,0.590055437,1.53576575,2.874890060803077,0.802,0.19799999999999995,NS,NS,NS
152,0,0,0.43314063,4.47784799,3.088832573672222,0.619,0.381,NS,NS,NS
153,0,0,1.374568542,1.07259983,0.4530712080670231,0.408,0.408,NS,NS,NS
154,0,0,0.94187169,3.82227536,4.930497946572927,0.68,0.31999999999999995,NS,NS,NS
155,0,0,1.326183262,0.09037239,1.0761614868122202,0.087,0.087,NS,NS,NS
156,0,0,0.780742653,1.40278629,0.18847856985406367,0.005,0.005,pos_cluster,pos_cluster,NS
157,0,0,1.761926851,0.27452703,0.7556635191712182,0.04,0.04,pos_cluster,NS,NS
158,0,0,1.275983625,0.46265373,0.8655338832125515,0.211,0.211,NS,NS,NS
159,0,0,1.877053468,2.0027377,1.4086040306548933,0.056,0.056,NS,NS,NS
160,0,0,1.847693116,8.12211137,7.005986135935791,0.016,0.016,pos_cluster,NS,NS
161,0,0,1.001508263,1.1600533,1.7506988668875014,0.648,0.352,NS,NS,NS
162,0,0,0.915405723,1.36256407,0.5325588575998754,0.106,0.106,NS,NS,NS
163,0,0,1.375899305,0.59116651,2.9401417870097566,0.807,0.19299999999999995,NS,NS,NS
164,0,0,0.495501881,0.54888427,8.120463112246425,0.971,0.029000000000000026,neg_cluster,NS,NS
165,0,0,0.224935795,3.26045724,2.540691240836747,0.278,0.278,NS,NS,NS
166,0,0,0.814731581,0.29280309,5.90834681983745,0.932,0.06799999999999995,NS,NS,NS
167,0,0,5.096865422,2.73669242,8.946460556644208,0.605,0.395,NS,NS,NS
168,0,0,1.1482042,8.13568285,9.102463319273356,0.372,0.372,NS,NS,NS
169,0,0,2.151207815,0.81335314,2.4699030691324553,0.656,0.344,NS,NS,NS
170,0,0,0.694352197,0.66592539,0.42638010400530835,0.116,0.116,NS,NS,NS
171,0,0,1.055778767,0.62931839,0.25744386810435044,0.049,0.049,pos_cluster,NS,NS
172,0,0,0.313576183,3.59285013,4.1010478222753655,0.633,0.367,NS,NS,NS
173,0,0,0.732437412,2.6132527,3.1997917325675433,0.661,0.33899999999999997,NS,NS,NS
174,8,1,0.278,1.0,0.40732294026707766,0.11,0.11,NS,NS,NS
175,8,1,0.278,1.0,0.40058213213995075,0.098,0.098,NS,NS,NS
176,8,1,0.278,1.0,0.305650050102444,0.052,0.052,NS,NS,NS
177,0,0,1.60436644,0.51564511,0.7544827474057686,0.112,0.112,NS,NS,NS
178,0,0,1.128407147,3.41328994,4.652251462243485,0.748,0.252,NS,NS,NS
179,0,0,2.484999004,0.29692423,3.7221112905429203,0.62,0.38,NS,NS,NS
180,5,1,1.0,1.0,0.3029538560583138,0.055,0.055,NS,NS,NS
181,5,1,1.0,1.0,0.06379095318151873,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
182,5,1,1.0,1.0,0.19461681055271163,0.016,0.016,pos_cluster,NS,NS
183,0,0,0.375020093,1.74077303,1.44163788555191,0.311,0.311,NS,NS,NS
184,0,0,0.982281681,2.07177527,3.1792186936090285,0.798,0.20199999999999996,NS,NS,NS
185,0,0,4.407919896,3.96753248,7.743592244074901,0.133,0.133,NS,NS,NS
186,2,1,3.6,1.0,6.154667906078273,0.904,0.09599999999999997,NS,NS,NS
187,2,1,3.6,1.0,7.385754927405937,0.932,0.06799999999999995,NS,NS,NS
188,2,1,3.6,1.0,5.937947375595116,0.887,0.11299999999999999,NS,NS,NS
189,0,0,0.428661908,1.16018826,0.5983453776371751,0.193,0.193,NS,NS,NS
190,0,0,1.746789884,0.55203604,0.20395095631859833,0.116,0.116,NS,NS,NS
191,0,0,0.593214052,0.43811084,0.1613889908072537,0.163,0.163,NS,NS,NS
192,0,0,2.008988408,0.36242138,0.2900309807107511,0.003,0.003,pos_cluster,pos_cluster,NS
193,8,1,0.278,1.0,0.44654588825837427,0.135,0.135,NS,NS,NS
194,8,0,0.278,1.0,0.5135629843615431,0.15,0.15,NS,NS,NS
195,8,0,0.278,1.0,0.5135629843615431,0.149,0.149,NS,NS,NS
196,8,1,0.278,1.0,0.5396105156718115,0.147,0.147,NS,NS,NS
197,0,0,0.547496095,2.57685026,1.669939529437496,0.27,0.27,NS,NS,NS
198,0,0,1.203837479,0.95499697,0.6415066261110447,0.192,0.192,NS,NS,NS
199,5,1,1.0,1.0,0.3119826036625233,0.081,0.081,NS,NS,NS
200,5,0,1.0,1.0,0.011869659615797976,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
201,5,0,1.0,1.0,0.011869659615797976,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
202,5,1,1.0,1.0,0.48587151219253033,0.142,0.142,NS,NS,NS
203,0,0,1.775757173,3.01924611,1.4045372383014358,0.016,0.016,pos_cluster,NS,NS
204,0,0,2.050207175,0.24841985,4.078759217529589,0.78,0.21999999999999997,NS,NS,NS
205,2,1,3.6,1.0,7.600706155565413,0.934,0.06599999999999995,NS,NS,NS
206,2,0,3.6,1.0,9.498443800777615,0.968,0.03200000000000003,neg_cluster,NS,NS
207,2,0,3.6,1.0,9.498443800777615,0.957,0.04300000000000004,neg_cluster,NS,NS
208,2,1,3.6,1.0,6.671078168214462,0.904,0.09599999999999997,NS,NS,NS
209,0,0,0.749404154,1.38468941,0.27817622310153656,0.061,0.061,NS,NS,NS
210,0,0,0.319392542,2.4283992,0.5382895453423296,0.059,0.059,NS,NS,NS
211,8,1,0.278,1.0,0.5668650557726433,0.184,0.184,NS,NS,NS
212,8,0,0.278,1.0,0.5135629843615431,0.147,0.147,NS,NS,NS
213,8,0,0.278,1.0,0.5135629843615431,0.134,0.134,NS,NS,NS
214,8,0,0.278,1.0,0.5135629843615431,0.159,0.159,NS,NS,NS
215,8,1,0.278,1.0,0.5657248536942656,0.169,0.169,NS,NS,NS
216,0,0,0.488592649,1.10467161,0.35521644984073253,0.081,0.081,NS,NS,NS
217,5,1,1.0,1.0,0.02989771280188627,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
218,5,0,1.0,1.0,0.011869659615797976,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
219,5,0,1.0,1.0,0.011869659615797976,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
220,5,0,1.0,1.0,0.011869659615797976,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
221,5,1,1.0,1.0,0.5517791954025332,0.169,0.169,NS,NS,NS
222,0,0,0.143009051,1.88730859,1.487806356210061,0.276,0.276,NS,NS,NS
223,2,1,3.6,1.0,7.562645580277697,0.924,0.07599999999999996,NS,NS,NS
224,2,0,3.6,1.0,9.498443800777615,0.965,0.03500000000000003,neg_cluster,NS,NS
225,2,0,3.6,1.0,9.498443800777615,0.956,0.04400000000000004,neg_cluster,NS,NS
226,2,0,3.6,1.0,9.498443800777615,0.968,0.03200000000000003,neg_cluster,NS,NS
227,2,1,3.6,1.0,6.09053222385866,0.891,0.10899999999999999,NS,NS,NS
228,0,0,2.279228843,0.72602717,1.0243308347534468,0.494,0.494,NS,NS,NS
229,0,0,1.203015551,1.23454774,0.37238652726117155,0.344,0.344,NS,NS,NS
230,0,0,1.599921269,0.53008739,0.7679911244795712,0.118,0.118,NS,NS,NS
231,8,1,0.278,1.0,0.5315406533318197,0.167,0.167,NS,NS,NS
232,8,0,0.278,1.0,0.5135629843615431,0.149,0.149,NS,NS,NS
233,8,0,0.278,1.0,0.5135629843615431,0.14,0.14,NS,NS,NS
234,8,1,0.278,1.0,0.4712450550555893,0.126,0.126,NS,NS,NS
235,0,0,0.393124515,0.92054531,0.21948263227711706,0.03,0.03,pos_cluster,NS,NS
236,0,0,0.739847783,0.75476278,1.1160761431054322,0.531,0.469,NS,NS,NS
237,5,1,1.0,1.0,0.7307721253952407,0.316,0.316,NS,NS,NS
238,5,0,1.0,1.0,0.011869659615797976,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
239,5,0,1.0,1.0,0.011869659615797976,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
240,5,1,1.0,1.0,0.025322753573871454,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
241,0,0,0.914240343,3.71142999,2.4604334256181786,0.288,0.288,NS,NS,NS
242,0,0,3.575671619,0.87160729,3.856249552926343,0.663,0.33699999999999997,NS,NS,NS
243,2,1,3.6,1.0,8.379565496487976,0.939,0.061000000000000054,NS,NS,NS
