OBJECTID,var1,var2,BiT,p_sim,p_value,pattern005,pattern001,pattern0001
361,78,81.82,0.31014980746572257,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
362,68,85.61,3.2162680837298185,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
363,66,38.1,10.680646099357999,0.957,0.04300000000000004,neg_cluster,NS,NS
364,19,20.31,5.976665608618601,0.01,0.01,pos_cluster,pos_cluster,NS
365,27,30.89,10.552206095046209,0.369,0.369,NS,NS,NS
366,80,45.0,11.725510274826005,0.962,0.038000000000000034,neg_cluster,NS,NS
367,13,23.76,0.5687598262489584,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
368,42,47.06,4.1106787747049225,0.511,0.489,NS,NS,NS
369,10,23.02,2.0982790882987943,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
370,56,32.69,9.282629477165326,0.986,0.014000000000000012,neg_cluster,NS,NS
371,22,46.55,3.3559471343669447,0.039,0.039,pos_cluster,NS,NS
372,41,34.15,5.931822059135424,0.523,0.477,NS,NS,NS
373,75,71.15,15.505003472219418,0.462,0.462,NS,NS,NS
374,85,89.39,7.384862092741981,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
375,64,45.0,9.29232137237483,0.36,0.36,NS,NS,NS
376,36,68.06,6.7371159456972585,0.849,0.15100000000000002,NS,NS,NS
377,47,48.0,0.2575054733963961,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
378,26,58.11,0.22055052144015083,0.009,0.009,pos_cluster,pos_cluster,NS
379,59,50.0,0.6653846049572968,0.011,0.011,pos_cluster,NS,NS
380,58,57.89,0.5020232406189806,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
381,66,61.54,1.0404721051024548,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
382,74,70.93,1.783103226517515,0.002,0.002,pos_cluster,pos_cluster,NS
383,39,76.47,5.150924829949693,0.25,0.25,NS,NS,NS
384,39,68.57,3.152728077304031,0.471,0.471,NS,NS,NS
385,51,75.0,4.553749408295798,0.276,0.276,NS,NS,NS
386,32,30.56,7.004384577677467,0.587,0.41300000000000003,NS,NS,NS
387,45,64.17,2.519826480368887,0.077,0.077,NS,NS,NS
388,44,55.17,3.004549975593877,0.009,0.009,pos_cluster,pos_cluster,NS
389,16,69.39,13.141235452455042,0.998,0.0020000000000000018,neg_cluster,neg_cluster,NS
390,41,83.93,9.055875528489924,0.72,0.28,NS,NS,NS
391,66,88.33,3.021671152509432,0.045,0.045,pos_cluster,NS,NS
392,47,75.0,1.1543279162241866,0.031,0.031,pos_cluster,NS,NS
393,52,63.49,1.0623343802956333,0.013,0.013,pos_cluster,NS,NS
394,33,66.67,3.869180680231302,0.255,0.255,NS,NS,NS
395,64,82.96,2.9482320200456305,0.071,0.071,NS,NS,NS
396,54,65.0,2.4676554478997197,0.089,0.089,NS,NS,NS
397,67,59.3,1.2253543294696352,0.004,0.004,pos_cluster,pos_cluster,NS
398,63,73.72,1.0700290240996186,0.003,0.003,pos_cluster,pos_cluster,NS
399,78,79.35,2.1403721552155184,0.004,0.004,pos_cluster,pos_cluster,NS
400,56,75.76,1.8894817149529513,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
401,57,64.58,0.29260610061381476,0.003,0.003,pos_cluster,pos_cluster,NS
402,34,31.97,7.179212671043603,0.233,0.233,NS,NS,NS
403,53,75.26,6.128568757341374,0.148,0.148,NS,NS,NS
404,51,68.42,1.920673289947653,0.007,0.007,pos_cluster,pos_cluster,NS
405,51,75.0,1.8864538010574028,0.227,0.227,NS,NS,NS
406,41,56.25,0.766225983091837,0.008,0.008,pos_cluster,pos_cluster,NS
407,30,51.22,3.7225990442950163,0.136,0.136,NS,NS,NS
408,47,45.07,1.0373882015867089,0.053,0.053,NS,NS,NS
409,28,48.78,3.0713028320013604,0.336,0.336,NS,NS,NS
410,54,69.51,1.9827460034266755,0.01,0.01,pos_cluster,pos_cluster,NS
411,62,65.22,0.7825018858851949,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
412,61,76.19,3.172000632822269,0.069,0.069,NS,NS,NS
413,39,34.88,1.5660528906998,0.054,0.054,NS,NS,NS
414,65,55.13,2.2441299198591826,0.013,0.013,pos_cluster,NS,NS
415,70,63.16,4.039231540627997,0.045,0.045,pos_cluster,NS,NS
416,26,44.3,0.49149393136193376,0.003,0.003,pos_cluster,pos_cluster,NS
417,49,66.67,1.2398625925807243,0.013,0.013,pos_cluster,NS,NS
418,40,53.12,2.5291662285378322,0.212,0.212,NS,NS,NS
419,52,75.58,4.152384607447035,0.049,0.049,pos_cluster,NS,NS
420,48,70.37,2.828419512272813,0.147,0.147,NS,NS,NS
421,54,61.7,1.3732942003933015,0.012,0.012,pos_cluster,NS,NS
422,51,59.79,4.349365191340743,0.048,0.048,pos_cluster,NS,NS
423,71,87.5,2.1345063409333607,0.019,0.019,pos_cluster,NS,NS
424,55,67.37,2.2790458816510193,0.01,0.01,pos_cluster,pos_cluster,NS
425,79,77.35,3.3077949595845855,0.019,0.019,pos_cluster,NS,NS
426,34,50.0,2.282474063104793,0.046,0.046,pos_cluster,NS,NS
427,37,43.64,0.3692636423139846,0.012,0.012,pos_cluster,NS,NS
428,35,68.97,8.934006180819756,0.978,0.02200000000000002,neg_cluster,NS,NS
429,38,58.49,3.1749966428797958,0.232,0.232,NS,NS,NS
430,84,79.41,1.8652049444096905,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
431,31,61.22,1.8635326750431034,0.122,0.122,NS,NS,NS
432,40,68.13,2.600832692948458,0.107,0.107,NS,NS,NS
433,53,51.55,1.8773927716837426,0.002,0.002,pos_cluster,pos_cluster,NS
434,45,56.14,4.258973777718766,0.22,0.22,NS,NS,NS
435,29,57.83,3.754941383714784,0.168,0.168,NS,NS,NS
436,54,80.19,2.423402702777576,0.005,0.005,pos_cluster,pos_cluster,NS
437,58,63.64,0.4973404655276574,0.002,0.002,pos_cluster,pos_cluster,NS
438,44,56.07,1.0121531998709632,0.024,0.024,pos_cluster,NS,NS
439,62,73.86,0.7280491308784345,0.003,0.003,pos_cluster,pos_cluster,NS
440,84,78.0,0.10947604101199666,0.009,0.009,pos_cluster,pos_cluster,NS
441,62,78.95,1.8936647284075874,0.048,0.048,pos_cluster,NS,NS
442,48,69.57,2.901031422414371,0.074,0.074,NS,NS,NS
443,61,82.35,1.1848324330639841,0.177,0.177,NS,NS,NS
444,57,46.51,2.75210514164048,0.532,0.46799999999999997,NS,NS,NS
445,44,58.33,2.26299073676015,0.285,0.285,NS,NS,NS
446,74,87.1,2.9398996950134273,0.002,0.002,pos_cluster,pos_cluster,NS
